,CustomerID,Name,Age,City,JoinDate,LastPurchaseDate,TotalOrders,TotalSpent,AvgOrderValue,PaymentMethod,CustomerLifetime,Recency,PurchaseFrequency,MonetaryValue,CLV,CustomerSegment,Recency_missing
0,C01,Ali,25,Karachi,2021-01-10,2023-07-01,15,150000,10000,Card,902,19.0,0.01662971175166297,10000.0,150000.0,Loyal,0
1,C02,Sara,28,Lahore,2020-03-15,2023-06-20,20,300000,15000,Cash,1192,30.0,0.016778523489932886,15000.0,300000.0,VIP,0
2,C03,Usman,30,Islamabad,2019-07-22,2022-12-15,10,80000,8000,Card,1242,217.0,0.008051529790660225,8000.0,79999.99999999999,Regular,0
3,C04,Ayesha,29,Karachi,2022-05-10,2023-07-10,8,60000,7500,Card,426,10.0,0.018779342723004695,7500.0,59999.99999999999,Regular,0
4,C05,Hassan,27,Lahore,2021-11-01,2023-05-05,12,120000,10000,Cash,550,76.0,0.02181818181818182,10000.0,120000.0,Loyal,0
5,C06,Zara,26,Islamabad,2020-09-18,2023-06-30,18,220000,12222,Card,1015,20.0,0.017733990147783252,12222.222222222223,220000.00000000003,VIP,0
6,C07,Ahmed,32,Karachi,2018-02-25,2023-07-15,25,500000,20000,Card,1966,5.0,0.01271617497456765,20000.0,500000.0,VIP,0
7,C08,Noor,29,Lahore,2022-06-30,2023-04-10,6,40000,6666,Cash,284,101.0,0.02112676056338028,6666.666666666667,40000.0,Regular,0
8,C09,Imran,31,Islamabad,2021-12-12,2023-07-01,14,180000,12857,Card,566,19.0,0.024734982332155476,12857.142857142857,180000.0,Loyal,0
9,C10,Hina,24,Karachi,2023-01-05,2023-07-12,5,30000,6000,Cash,188,8.0,0.026595744680851064,6000.0,30000.0,Regular,0
10,C11,Sara,43,Faisalabad,2020-09-30,2021-06-15,11,82368,7488,Card,258,765.0,0.04263565891472868,7488.0,82368.0,Regular,0
11,C12,Ayesha,20,Lahore,2020-06-14,2021-03-09,35,791093,22603,Cash,268,863.0,0.13059701492537312,22602.657142857144,791093.0,VIP,0
12,C13,Iqra,33,Rawalpindi,2023-01-14,2023-07-13,20,86420,4321,Cash,180,7.0,0.1111111111111111,4321.0,86420.0,Regular,0
13,C14,Aisha,28,Islamabad,2020-05-31,2021-06-09,9,62590,6954,Mobile Wallet,374,771.0,0.02406417112299465,6954.444444444444,62590.0,Regular,0
14,C15,Anum,28,Karachi,2023-02-25,2023-06-03,10,157121,15712,Mobile Wallet,98,47.0,0.10204081632653061,15712.1,157121.0,Loyal,0
15,C16,Anum,31,Sialkot,2020-02-27,2020-06-07,5,58900,11780,Card,101,1138.0,0.04950495049504951,11780.0,58900.00000000001,Regular,0
16,C17,Noor,32,Faisalabad,2023-02-01,2023-06-04,13,206655,15897,Mobile Wallet,123,46.0,0.10569105691056911,15896.538461538461,206655.0,VIP,0
17,C18,Zara,39,Gujranwala,2019-12-02,2021-06-30,18,167736,9319,Mobile Wallet,576,750.0,0.03125,9318.666666666666,167736.0,Loyal,0
18,C19,Iqra,27,Gujranwala,2021-08-21,2021-11-16,17,88486,5205,Bank Transfer,87,611.0,0.19540229885057472,5205.058823529412,88486.0,Regular,0
19,C20,Omar,38,Multan,2020-05-20,2022-04-21,34,598963,17617,Bank Transfer,701,455.0,0.04850213980028531,17616.558823529413,598963.0000000001,VIP,0
20,C21,Usman,27,Hyderabad,2020-12-12,2022-09-01,30,686652,22888,Cash,628,322.0,0.04777070063694268,22888.4,686652.0000000001,VIP,0
21,C22,Hina,36,Quetta,2019-01-08,2019-03-27,10,91228,9123,Bank Transfer,78,1576.0,0.1282051282051282,9122.8,91227.99999999999,Regular,0
22,C23,Maryam,32,Sialkot,2023-04-02,2023-07-08,19,435600,22926,Card,97,12.0,0.1958762886597938,22926.315789473683,435600.0,VIP,0
23,C24,Noor,41,Hyderabad,2020-12-28,2022-11-14,24,179926,7497,Cash,686,248.0,0.03498542274052478,7496.916666666667,179926.0,Loyal,0
24,C25,Talha,36,Islamabad,2023-09-11,2023-10-11,22,549034,24956,Cash,30,1938.0,0.7333333333333333,24956.090909090908,549034.0,VIP,1
25,C26,Hamza,37,Hyderabad,2018-01-03,2019-10-08,23,438114,19048,Mobile Wallet,643,1381.0,0.03576982892690513,19048.434782608696,438114.0,VIP,0
26,C27,Tania,27,Karachi,2020-09-13,2022-05-16,8,55710,6964,Card,610,430.0,0.013114754098360656,6963.75,55710.0,Regular,0
