,CustomerID,Name,City,JoinDate,TransactionID,Date,Amount
0,C01,Ali,Karachi,2021-01-10,T001,2023-07-01,5000
1,C02,Sara,Lahore,2020-03-15,T002,2023-06-20,20000
2,C03,Usman,Islamabad,2019-07-22,T003,2023-06-15,7000
3,C04,Ayesha,Karachi,2022-05-10,T004,2022-12-15,8000
4,C05,Hassan,Lahore,2021-11-01,T005,2023-05-10,15000
5,C06,Zara,Islamabad,2020-09-18,T006,2023-07-10,6000
6,C07,Ahmed,Karachi,2018-02-25,T007,2023-05-05,12000
7,C08,Noor,Lahore,2022-06-30,T008,2023-06-30,18000
8,C09,Imran,Islamabad,2021-12-12,T009,2023-07-15,50000
9,C10,Hina,Karachi,2023-01-05,T010,2023-04-10,4000
10,C11,Farhan,Hyderabad,2022-08-15,T011,2023-07-01,10000
11,C12,Rabia,Faisalabad,2021-04-20,T012,2023-07-12,3000
12,C13,Sana,Rawalpindi,2020-11-10,T013,2023-04-20,8500
13,C14,Aisha,Multan,2019-09-05,T014,2022-11-05,25000
14,C15,Hamza,Peshawar,2023-02-28,T015,2023-03-15,18000
15,C16,Noor,Sialkot,2022-03-12,T016,2022-08-22,7500
16,C17,Bilal,Quetta,2021-07-19,T017,2023-02-10,9500
17,C18,Talha,Gujranwala,2020-05-25,T018,2023-01-25,12000
18,C19,Maryam,Lahore,2023-06-01,T019,2023-06-05,6500
19,C20,Imran,Karachi,2019-12-08,T020,2022-12-18,4500
20,C21,Zain,Islamabad,2022-10-30,T021,2023-05-30,5500
21,C22,Fatima,Hyderabad,2021-01-15,T022,2022-10-12,13500
22,C23,Ahmed,Faisalabad,2020-07-22,T023,2023-05-20,42000
23,C24,Saima,Rawalpindi,2023-03-18,T024,2022-09-08,11000
24,C25,Omar,Multan,2018-11-05,T025,2023-07-05,22000
25,C26,Laiba,Peshawar,2022-09-14,T026,2023-06-28,8000
26,C27,Danish,Sialkot,2021-06-07,T027,2022-07-15,10500
27,C28,Kiran,Quetta,2020-02-19,T028,2023-04-12,16500
28,C29,Yusuf,Gujranwala,2023-05-22,T029,2021-11-30,9000
29,C30,Anum,Karachi,2019-08-30,T030,2023-03-22,3800
30,C31,Hassan,Lahore,2022-12-01,T031,2022-06-10,6200
31,C32,Sara,Islamabad,2021-03-25,T032,2023-02-18,14800
32,C33,Usman,Hyderabad,2020-10-12,T033,2021-08-25,38000
33,C34,Ayesha,Faisalabad,2023-07-05,T034,2023-01-15,9200
34,C35,Noman,Rawalpindi,2019-04-18,T035,2022-04-05,19500
35,C36,Tania,Multan,2022-01-09,T036,2023-05-08,7200
36,C37,Iqra,Peshawar,2021-11-28,T037,2023-06-12,13800
37,C38,Arslan,Sialkot,2020-06-03,T038,2022-03-20,14200
38,C39,Mahnoor,Quetta,2023-04-15,T039,2023-03-10,7800
39,C40,Bushra,Gujranwala,2018-09-20,T040,2021-12-05,4100
40,C41,Waqar,Karachi,2022-07-10,T041,2023-01-28,4900
41,C42,Saad,Lahore,2021-08-22,T042,2022-05-15,11200
42,C43,Hina,Islamabad,2020-04-07,T043,2023-02-28,45500
43,C44,Fahad,Hyderabad,2023-01-30,T044,2022-12-22,7800
44,C45,Zara,Faisalabad,2019-10-25,T045,2023-04-18,16700
45,C46,Imran,Rawalpindi,2022-05-19,T046,2022-10-30,6800
46,C47,Noor,Multan,2021-02-14,T047,2021-09-12,9800
47,C48,Sana,Peshawar,2020-08-28,T048,2023-07-08,19500
48,C49,Ali,Sialkot,2023-09-03,T049,2022-08-15,8200
49,C50,Rabia,Quetta,2019-01-12,T050,2023-06-25,5200
50,C51,Hamza,Gujranwala,2022-11-17,T051,2022-02-20,5300
51,C52,Khalid,Karachi,2021-05-06,T052,2023-05-22,12500
52,C53,Laiba,Lahore,2020-12-20,T053,2022-01-10,31000
53,C54,Omar,Islamabad,2023-08-11,T054,2023-03-05,10500
54,C55,Maryam,Hyderabad,2018-07-15,T055,2021-12-28,21000
55,C56,Talha,Faisalabad,2022-04-02,T056,2023-02-12,7100
56,C57,Anum,Rawalpindi,2021-10-08,T057,2022-11-18,11500
57,C58,Danish,Multan,2020-03-29,T058,2021-10-05,13200
58,C59,Iqra,Peshawar,2023-06-25,T059,2023-05-25,7200
59,C60,Arslan,Sialkot,2019-11-03,T060,2022-07-30,3900
60,C61,Fatima,Quetta,2022-02-28,T061,2023-06-18,6100
61,C62,Bushra,Gujranwala,2021-07-30,T062,2021-07-22,9800
62,C63,Saima,Karachi,2020-09-17,T063,2023-04-08,48000
63,C64,Usman,Lahore,2023-03-05,T064,2022-06-05,8800
